AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A306362,Zoey,7/18/15 16:40,Return_to_owner,,Dog,Spayed Female,13 years,Labrador Retriever/Chow Chow,Black,156,7
A718681,Bentley,1/17/16 16:25,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,24,1
A718592,Clara,1/9/16 13:49,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,12,1
A673997,,3/9/14 8:00,Transfer,SCRP,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby/White,60,3
A674241,Elise,3/12/14 13:21,Transfer,Partner,Cat,Intact Female,1 year,Snowshoe Mix,Seal Point/White,12,3
A678394,Ryder,6/14/14 18:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,36,6
A696624,,2/14/15 17:49,Adoption,,Cat,Neutered Male,6 months,Domestic Longhair Mix,Brown Tabby,6,2
A703682,,8/26/15 19:08,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White,3,8
A712336,Azucar,9/25/15 18:40,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan,12,9
A676810,,4/15/14 15:30,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,0.5,4
A666944,,2/10/14 17:51,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Black,4,2
A659667,,10/26/13 13:34,Transfer,SCRP,Cat,Neutered Male,8 years,Domestic Longhair Mix,Blue/White,96,10
A711383,Greta,9/18/15 13:58,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black,24,9
A688273,Dutchess,9/20/14 16:04,Adoption,Offsite,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Yellow Brindle/White,2,9
A592009,Cookie,4/29/15 18:30,Return_to_owner,,Dog,Neutered Male,7 years,Jack Russell Terrier/Rat Terrier,White/Black,84,4
A664543,Angel,8/10/15 14:23,Adoption,Foster,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Brown/White,132,8
A683925,Fluffette,7/19/14 14:02,Adoption,,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue,4,7
A687259,,9/6/14 16:44,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,36,9
A707913,Shadow,8/4/15 12:32,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,12,8
A663294,Mostro,4/28/15 14:34,Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,48,4
A657389,Canella,8/4/15 12:04,Return_to_owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Tan/White,60,8
A685553,Bertha,8/10/14 17:14,Return_to_owner,,Dog,Spayed Female,4 months,Pointer Mix,Black/White,4,8
A676210,Jack,7/12/14 18:41,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black,3,7
A680316,Mojo,6/7/14 16:58,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,2,6
A697339,,2/23/15 18:36,Adoption,,Dog,Spayed Female,1 month,German Shepherd/Pit Bull,Brown,1,2
A668988,Lillie,12/14/13 13:29,Return_to_owner,,Dog,Spayed Female,5 years,Basset Hound Mix,Black/White,60,12
A701198,,4/25/15 13:35,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Blue,1,4
A692849,Pelos,11/30/14 17:00,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair/Border Terrier,Buff,60,11
A709339,,8/7/15 14:37,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,1,8
A690112,Dayz,10/18/14 18:03,Adoption,,Dog,Spayed Female,2 months,Queensland Heeler Mix,Black,2,10
A689485,Sabrina,12/6/14 15:13,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,3,12
A669889,,1/2/14 18:02,Adoption,,Dog,Neutered Male,2 years,Chow Chow,Tan,24,1
A687796,Boomer,9/16/14 11:22,Transfer,Partner,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown Brindle/White,12,9
A692439,Fluffy,11/20/14 18:32,Return_to_owner,,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,White,24,11
A685592,,8/9/14 16:00,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,12,8
A682374,Moonshine,7/6/14 16:54,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,2,7
A506241,Napoleon,12/18/13 13:48,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Cream Tabby/White,84,12
A641941,Bo,5/27/15 12:24,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White,72,5
A676226,Cassie,5/5/14 12:32,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Blue,24,5
A665133,Honey,12/5/13 13:40,Adoption,,Dog,Spayed Female,8 months,Pit Bull Mix,Brown/White,8,12
A699730,,4/2/15 9:00,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Calico,36,4
A680533,Ruby,6/29/14 14:40,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,12,6
A695109,Cupcake,1/21/15 13:57,Adoption,,Dog,Spayed Female,9 months,Whippet Mix,Brown Brindle/White,9,1
A713239,Tila,10/6/15 18:06,Return_to_owner,,Dog,Intact Female,9 months,Pit Bull Mix,Fawn,9,10
A687713,Coogi,9/10/14 17:29,Adoption,,Dog,Neutered Male,2 months,Pit Bull/Siberian Husky,Black/White,2,9
A687478,,9/6/14 17:03,Return_to_owner,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Blue/Tan,2,9
A694390,Sadie,12/27/14 15:16,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever/Basset Hound,Red,12,12
A701763,Sammy,5/11/15 17:08,Adoption,,Dog,Spayed Female,1 year,Cairn Terrier Mix,White/Tan,12,5
A430437,Sammy,5/27/14 13:30,Transfer,Partner,Dog,Neutered Male,10 years,Cairn Terrier,Brown Brindle,120,5
A688164,Krypto,8/4/15 17:27,Return_to_owner,,Dog,Neutered Male,2 years,Collie Smooth/Labrador Retriever,Brown/White,24,8
A713577,Ferguson,10/11/15 17:10,Return_to_owner,,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Tricolor,24,10
A711078,Jj,9/3/15 16:55,Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Yellow/White,72,9
A692828,Vail,12/1/14 18:46,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Black/Brown,8,12
A673569,,2/27/14 15:18,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,12,2
A713499,Sammie,10/11/15 16:27,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Tan,72,10
A702614,Athena,6/25/15 13:06,Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,White/Tan,24,6
A693162,,1/1/15 17:21,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog/Border Collie,Black/White,2,1
A588601,Jackie,1/2/16 18:35,Return_to_owner,,Dog,Spayed Female,7 years,Australian Cattle Dog Mix,Blue Merle/White,84,1
A686286,Jynx,8/30/14 13:46,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black,5,8
A685078,Buddy,8/7/14 12:49,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Black,36,8
A701307,Beatrice,5/26/15 17:17,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby,24,5
A691704,Zander,11/18/14 17:01,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,11
A699293,Gerome,3/29/15 15:26,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White,0.5,3
A713380,Muneca,10/9/15 18:23,Return_to_owner,,Dog,Spayed Female,1 year,Miniature Poodle Mix,White,12,10
A684615,Goose,8/21/14 14:20,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,12,8
A682422,,7/4/14 18:42,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever/Australian Kelpie,Brown,4,7
A694550,,1/3/15 14:54,Transfer,Partner,Dog,Intact Male,3 years,Anatol Shepherd Mix,Brown/White,36,1
A682996,,7/9/14 18:18,Adoption,,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Chocolate,36,7
A668174,,12/4/13 19:03,Adoption,,Dog,Neutered Male,6 years,Miniature Schnauzer,Black,72,12
A702944,Raphaela,6/26/15 18:25,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue Tabby/White,2,6
A705688,Channel,6/20/15 17:48,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso Mix,White/Tan,84,6
A713013,,10/6/15 17:58,Adoption,,Dog,Neutered Male,9 months,Chihuahua Shorthair/Dachshund,Buff,9,10
A692293,,11/18/14 15:33,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Tricolor,1,11
A707763,Tinkerbell,7/19/15 13:48,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby,2,7
A699442,Quentin,4/8/15 13:14,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black/White,24,4
A713190,Coca,10/5/15 17:14,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,White/Black,12,10
A702392,Kermit,6/14/15 12:24,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,6
A666873,,11/8/13 15:48,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue,0.5,11
A674095,Penelope,3/8/14 19:05,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,12,3
A711622,,1/8/16 14:49,Adoption,Foster,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White,5,1
A691625,Freya,12/5/14 18:02,Adoption,,Dog,Spayed Female,1 year,Catahoula Mix,Brown/White,12,12
A696093,,1/30/15 9:00,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Cream Tabby/White,5,1
A664916,Phoenix,10/16/13 17:12,Transfer,Partner,Dog,Intact Male,1 year,Pug Mix,Brown/White,12,10
A692898,Onyx,12/7/14 17:18,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,3,12
A691252,Sasha,11/3/14 15:55,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Tan,48,11
A674784,Siesta,4/15/14 17:03,Adoption,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair/Dachshund Wirehair,Black/White,1,4
A704142,,6/2/15 9:32,Euthanasia,Suffering,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Orange Tabby,144,6
A682518,Loco,7/20/14 15:15,Adoption,,Cat,Intact Male,1 month,Domestic Longhair Mix,Black/White,1,7
A674891,,3/20/14 14:29,Transfer,Partner,Dog,Intact Female,4 weeks,Chow Chow Mix,Brown,1,3
A708747,Zeus,8/14/15 14:51,Return_to_owner,,Dog,Intact Male,10 months,Pit Bull Mix,Brown Brindle/White,10,8
A668890,,12/16/13 12:25,Transfer,Partner,Dog,Spayed Female,4 months,Beagle Mix,Red/White,4,12
A664578,Rufus,1/3/14 17:19,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull,Black Brindle/White,48,1
A679651,Boogie,6/17/14 16:35,Adoption,,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Tan/White,6,6
A652729,Yoda,10/8/13 16:57,Transfer,Partner,Dog,Neutered Male,7 months,Kuvasz/Labrador Retriever,White,7,10
A687631,,9/8/14 11:06,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Calico/Black,0.25,9
A686397,,8/21/14 15:37,Transfer,Partner,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle,1,8
A677091,Zelda,6/29/14 16:00,Adoption,,Cat,Spayed Female,4 months,Siamese,Flame Point,4,6
A678716,Will,6/29/14 19:00,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White,2,6
A697927,,4/22/15 10:04,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,4
A713661,Coco,12/8/15 18:16,Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White,24,12
A705781,Heihachi,6/23/15 19:15,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Brown Tabby,0.5,6
A701937,Azul,5/12/15 12:12,Transfer,Partner,Dog,Neutered Male,5 months,Pit Bull Mix,Blue/White,5,5
A679952,Howard,7/8/14 14:47,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Flame Point,2,7
A641381,Doggie Doo,2/12/15 17:30,Return_to_owner,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Brown,96,2
A697230,Minena,2/20/15 17:35,Euthanasia,Suffering,Cat,Intact Female,9 years,Domestic Shorthair Mix,Black,108,2
A682652,,7/1/14 11:45,Transfer,Partner,Dog,Intact Male,2 months,Siberian Husky/German Shepherd,White,2,7
A694680,,1/3/15 9:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,1
A705950,Desmond,10/9/15 15:37,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,24,10
A718505,Nortina,1/6/16 0:00,Transfer,Partner,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tricolor,36,1
A683703,Ruckus,9/17/14 7:59,Adoption,Foster,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Brown,60,9
A671669,Matty,9/10/14 14:02,Adoption,,Dog,Neutered Male,1 year,Rottweiler Mix,Black/Brown,12,9
A667395,Diego,11/27/13 16:11,Return_to_owner,,Dog,,7 years,Dachshund,Brown Merle,84,11
A696641,,2/13/15 18:18,Adoption,,Dog,Spayed Female,3 years,Norwich Terrier/Border Terrier,Tricolor,36,2
A689236,,10/2/14 14:36,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Black/White,0.033333333,10
A701991,Ursa,5/7/15 17:14,Euthanasia,Aggressive,Dog,Intact Female,5 years,Pit Bull Mix,Chocolate/White,60,5
A670494,Gus,1/12/14 17:10,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Red,72,1
A694432,Belle,1/1/15 17:51,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,36,1
A704217,Coqueta,6/2/15 19:37,Transfer,Partner,Dog,Intact Female,3 months,German Shepherd Mix,Black/Tan,3,6
A675627,Peeta,4/19/14 13:14,Adoption,,Dog,Neutered Male,10 months,Plott Hound/Boxer,Brown Brindle/White,10,4
A696399,Kirby,2/15/15 11:09,Return_to_owner,,Dog,Spayed Female,2 years,Basset Hound/Labrador Retriever,Brown,24,2
A691435,Yeshua,11/10/14 18:47,Adoption,,Dog,Spayed Female,9 months,Great Pyrenees Mix,White,9,11
A669833,,12/28/13 14:07,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd Mix,Black/Red,2,12
A707460,Buster,7/21/15 19:30,Adoption,,Dog,Intact Male,3 months,Australian Cattle Dog Mix,Black/White,3,7
A671862,Shippo,2/4/14 17:08,Adoption,,Dog,Neutered Male,3 months,Dachshund/Chihuahua Shorthair,Buff,3,2
A701949,Darren,5/31/15 12:21,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,2,5
A677621,,4/27/14 12:15,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black,0.1,4
A679423,,5/22/14 19:11,Transfer,SCRP,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Orange Tabby,48,5
A710131,Angie,8/18/15 15:59,Euthanasia,Suffering,Cat,Intact Female,17 years,Domestic Longhair Mix,Tortie,204,8
A716988,Dale,12/8/15 12:52,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,2,12
A711387,Moe,9/14/15 13:43,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/Black,24,9
A707886,Ladybug,7/26/15 17:57,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,2,7
A685157,Sombra,8/29/14 11:43,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Black/White,2,8
A702176,,5/10/15 18:36,Died,In Kennel,Cat,Intact Female,0 years,Domestic Longhair Mix,White/Brown Tabby,0,5
A680937,Hank,6/23/14 12:51,Adoption,,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Blue Merle,72,6
A462504,Lady Bug,9/8/14 15:12,Adoption,,Dog,Spayed Female,9 years,Pit Bull Mix,Red/White,108,9
A709240,,8/12/15 17:17,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Seal Point,2,8
A686645,,8/28/14 17:59,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair/Jack Russell Terrier,Tan/White,2,8
A694791,Sophie,1/5/15 13:01,Transfer,Partner,Cat,Intact Female,8 months,Siamese,Lynx Point,8,1
A707234,,7/15/15 18:42,Adoption,,Dog,Spayed Female,2 years,Boxer Mix,Red/White,24,7
A681777,,6/25/14 17:09,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,2,6
A675065,Persephone,3/28/14 11:43,Adoption,,Dog,Spayed Female,2 months,Manchester Terrier Mix,Tricolor/White,2,3
A705478,Turtle Cake,7/28/15 14:38,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie,5,7
A707116,Heidi,9/29/15 14:41,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/Chinese Sharpei,White/Brown,12,9
A681262,,6/15/14 19:12,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Calico,10,6
A718391,,12/29/15 13:30,Transfer,Partner,Cat,Unknown,10 years,Domestic Longhair Mix,Brown Tabby,120,12
A713541,Paulie,10/12/15 13:27,Adoption,,Dog,Spayed Female,10 years,Miniature Poodle Mix,Black,120,10
A682404,Kyle,8/15/14 12:17,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White,2,8
A713223,,10/8/15 17:44,Transfer,Partner,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,White/Tan,72,10
A684027,Lili,10/2/14 9:16,Adoption,Foster,Cat,Spayed Female,8 years,Ragdoll Mix,Lynx Point,96,10
A703216,Chispa,5/22/15 18:12,Return_to_owner,,Dog,Spayed Female,4 months,Miniature Poodle Mix,White/Gray,4,5
A690660,,10/27/14 12:10,Transfer,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Sable,60,10
A674244,Shelby,3/30/14 18:49,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/Brown,2,3
A720888,Panchas,2/21/16 13:29,Adoption,,Dog,Spayed Female,8 months,Chow Chow Mix,Black,8,2
A711368,,9/5/15 18:43,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,0.5,9
A677902,Jasper,5/2/14 17:26,Return_to_owner,,Dog,Neutered Male,7 months,Boxer/Pointer,Tan/White,7,5
A687674,,9/8/14 16:39,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,0.75,9
A716368,,12/17/15 11:32,Adoption,Foster,Dog,Neutered Male,1 month,Boxer Mix,Sable/White,1,12
A714884,Billie Jean,11/16/15 13:32,Transfer,Partner,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,Black/White,24,11
A708828,Teri,8/8/15 14:25,Transfer,Partner,Cat,Unknown,1 month,Domestic Shorthair Mix,Brown Tabby/White,1,8
A703335,Wilson,5/26/15 17:17,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,24,5
A708834,,11/3/15 10:22,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,3,11
A693022,Lady,12/4/14 17:02,Transfer,Partner,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black,84,12
A566868,Mayhem,9/26/14 11:03,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,12,9
A652606,Tux,10/12/13 19:10,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White,6,10
A530460,Koko,8/7/15 15:47,Return_to_owner,,Dog,Spayed Female,7 years,St. Bernard Rough Coat Mix,Black/Tricolor,84,8
A713491,Boo!,11/1/15 19:00,Adoption,,Cat,Neutered Male,1 month,Domestic Longhair Mix,Brown Tabby,1,11
A584195,Bryson,3/2/14 15:44,Return_to_owner,,Dog,Neutered Male,4 years,Blue Lacy/Beagle,Fawn/White,48,3
A677087,Marco,9/7/14 16:07,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby/White,5,9
A706843,Bobi,7/15/15 17:08,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair/Dachshund,Brown,36,7
A661783,Gwen,10/8/13 16:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Brown Tabby/White,3,10
A717131,Minx,12/16/15 13:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair/Manx,Brown Tabby,2,12
A703361,Harry,7/10/15 13:49,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,7
A665968,Manchitas,10/28/13 12:58,Transfer,Partner,Dog,Spayed Female,3 years,Dachshund,Blue Merle/White,36,10
A668712,,12/9/13 16:09,Transfer,SCRP,Cat,Intact Female,7 months,Domestic Shorthair Mix,Brown Tabby,7,12
A681031,Cali,6/17/14 14:41,Return_to_owner,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie/White,5,6
A686693,Chata,9/1/14 15:51,Adoption,,Dog,Spayed Female,3 years,English Bulldog Mix,Brown Brindle/White,36,9
A694072,,12/19/14 17:35,Euthanasia,Suffering,Cat,Unknown,1 year,Domestic Medium Hair Mix,Blue,12,12
A708835,,12/16/15 9:27,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,4,12
A717961,Jester,1/29/16 16:22,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,36,1
A696598,,2/8/15 11:31,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Gray Tabby,12,2
A666100,Sandy,10/28/13 11:57,Return_to_owner,,Dog,Intact Female,9 years,Labrador Retriever/Pit Bull,Red/White,108,10
A706640,Bogart,7/5/15 18:45,Adoption,,Dog,Neutered Male,2 months,Lhasa Apso/Dachshund,White,2,7
A708900,,8/3/15 9:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby,36,8
A703064,Peggy,8/12/15 13:47,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,3,8
A681703,Hailey 2,6/19/14 15:38,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu/Havanese,White/Gray,24,6
A692811,Apollo,6/30/15 12:43,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,12,6
A664824,Bella,7/18/14 15:05,Euthanasia,Aggressive,Dog,Spayed Female,5 years,German Shepherd Mix,Black,60,7
A703185,Sonny,7/18/15 18:17,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,7
A603239,Lucy,4/28/15 11:06,Return_to_owner,,Dog,Spayed Female,4 years,Boxer Mix,Brown Brindle/White,48,4
A720452,Chivito,2/13/16 11:19,Return_to_owner,,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,White,12,2
A695938,Callie,1/31/15 18:19,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,6,1
A715163,Ava,11/10/15 17:53,Adoption,,Dog,Spayed Female,1 year,Beagle Mix,White/Brown Brindle,12,11
A708033,Sadie,7/23/15 18:08,Return_to_owner,,Dog,Spayed Female,1 year,Boxer Mix,Red,12,7
A699311,Eames,4/2/15 17:33,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black,24,4
A680813,Goliath,6/9/14 13:19,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever/American Bulldog,Black/White,36,6
A705124,,6/14/15 9:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,24,6
A691370,Darby,11/7/14 18:46,Transfer,Partner,Dog,Neutered Male,5 years,Dachshund Mix,Tricolor,60,11
A677961,Anubis,5/24/14 15:31,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,24,5
A693074,Paddy,12/10/14 11:12,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Longhair Mix,Black/White,36,12
A700746,,4/20/15 14:20,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,4
A720232,Tucker,2/15/16 13:50,Return_to_owner,,Dog,Neutered Male,1 year,American Foxhound,White/Red,12,2
A670563,Mia,9/18/14 15:37,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,12,9
A719548,Annelise,1/24/16 18:45,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue/White,2,1
A683345,Muffin,7/10/14 18:59,Adoption,,Dog,Spayed Female,9 months,Soft Coated Wheaten Terrier/Labrador Retriever,Sable/Tan,9,7
A681275,,6/14/14 16:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,0.75,6
A707754,,7/21/15 18:02,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Seal Point,2,7
A676625,Gavin,5/23/14 17:20,Adoption,Foster,Dog,Neutered Male,1 month,English Pointer Mix,Chocolate/White,1,5
A673741,Oreo,3/1/14 18:47,Return_to_owner,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Gray,24,3
A706916,Cafeara,7/9/15 17:11,Return_to_owner,,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Black,24,7
A711828,Donald,11/30/15 11:16,Transfer,Partner,Dog,Neutered Male,2 years,American Bulldog Mix,White/Tan,24,11
A701984,,7/19/15 19:25,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,7
A703805,Bitsie,8/29/15 14:14,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,3,8
